station_id,uid,name,city,country,provider,lat,lon,params_json,last_update,meta_json
aqicn--531547,-531547,Kabupaten Gunung Mas,Kabupaten Gunung Mas,ID,AQICN,-1.1160999536514282,113.84100341796875,[],,"{""uid"": -531547, ""name"": ""Kabupaten Gunung Mas"", ""city"": ""Kabupaten Gunung Mas"", ""lat"": -1.1160999536514282, ""lon"": 113.84100341796875}"
aqicn--472450,-472450,Kabupaten Semarang Candirejo,Kabupaten Semarang Candirejo,ID,AQICN,-7.148530006408691,110.40699768066406,[],,"{""uid"": -472450, ""name"": ""Kabupaten Semarang Candirejo"", ""city"": ""Kabupaten Semarang Candirejo"", ""lat"": -7.148530006408691, ""lon"": 110.40699768066406}"
aqicn--472489,-472489,Kota Cilegon Pulomerak,Kota Cilegon Pulomerak,ID,AQICN,-5.920650005340576,106.00700378417969,[],,"{""uid"": -472489, ""name"": ""Kota Cilegon Pulomerak"", ""city"": ""Kota Cilegon Pulomerak"", ""lat"": -5.920650005340576, ""lon"": 106.00700378417969}"
aqicn--531562,-531562,Kabupaten Musi Banyuasin Serasan Jaya,Kabupaten Musi Banyuasin Serasan Jaya,ID,AQICN,-2.8742001056671143,103.83699798583984,[],,"{""uid"": -531562, ""name"": ""Kabupaten Musi Banyuasin Serasan Jaya"", ""city"": ""Kabupaten Musi Banyuasin Serasan Jaya"", ""lat"": -2.8742001056671143, ""lon"": 103.83699798583984}"
aqicn--539251,-539251,Kabupaten Musi Rawas,Kabupaten Musi Rawas,ID,AQICN,-3.244539976119995,103.00900268554688,[],,"{""uid"": -539251, ""name"": ""Kabupaten Musi Rawas"", ""city"": ""Kabupaten Musi Rawas"", ""lat"": -3.244539976119995, ""lon"": 103.00900268554688}"
aqicn--416926,-416926,DLH MEDAN 02,DLH MEDAN 02,ID,AQICN,3.652869939804077,98.66580200195312,[],,"{""uid"": -416926, ""name"": ""DLH MEDAN 02"", ""city"": ""DLH MEDAN 02"", ""lat"": 3.652869939804077, ""lon"": 98.66580200195312}"
aqicn--416824,-416824,Samarinda Taman Segiri,Samarinda Taman Segiri,ID,AQICN,-0.4890739917755127,117.14700317382812,[],,"{""uid"": -416824, ""name"": ""Samarinda Taman Segiri"", ""city"": ""Samarinda Taman Segiri"", ""lat"": -0.4890739917755127, ""lon"": 117.14700317382812}"
aqicn--416746,-416746,Palembang Bukit Kecil,Palembang Bukit Kecil,ID,AQICN,-2.9803860187530518,104.74724578857422,[],,"{""uid"": -416746, ""name"": ""Palembang Bukit Kecil"", ""city"": ""Palembang Bukit Kecil"", ""lat"": -2.9803860187530518, ""lon"": 104.74724578857422}"
aqicn-11755,11755,"Kototabang, Indonesia",Kototabang,ID,AQICN,-0.251,100.382,[],,"{""uid"": 11755, ""name"": ""Kototabang, Indonesia"", ""city"": ""Kototabang"", ""lat"": -0.251, ""lon"": 100.382}"
aqicn--519148,-519148,Kota Sorong Remu Utara,Kota Sorong Remu Utara,ID,AQICN,-0.8803150057792664,131.28799438476562,[],,"{""uid"": -519148, ""name"": ""Kota Sorong Remu Utara"", ""city"": ""Kota Sorong Remu Utara"", ""lat"": -0.8803150057792664, ""lon"": 131.28799438476562}"
